2005,Jan,134,Source: http://data.bls.gov/timeseries/CES0000000001?output_view=net_1mth
,Feb,239,
,Mar,135,
,Apr,363,
,May,176,
,Jun,243,
,Jul,375,
,Aug,196,
,Sep,66,
,Oct,84,
,Nov,337,
,Dec,158,
2006,Jan,277,
,Feb,315,
,Mar,281,
,Apr,182,
,May,24,
,Jun,77,
,Jul,206,
,Aug,185,
,Sep,156,
,Oct,3,
,Nov,209,
,Dec,172,
2007,Jan,237,
,Feb,88,
,Mar,188,
,Apr,78,
,May,145,
,Jun,71,
,Jul,-34,
,Aug,-17,
,Sep,86,
,Oct,83,
,Nov,117,
,Dec,97,
2008,Jan,15,
,Feb,-87,
,Mar,-79,
,Apr,-213,
,May,-183,
,Jun,-172,
,Jul,-210,
,Aug,-259,
,Sep,-452,
,Oct,-476,
,Nov,-765,
,Dec,-696,
2009,Jan,-796,
,Feb,-703,
,Mar,-824,
,Apr,-684,
,May,-355,
,Jun,-467,
,Jul,-325,
,Aug,-217,
,Sep,-227,
,Oct,-201,
,Nov,-6,
,Dec,-283,
2010,Jan,32,
,Feb,-68,
,Mar,161,
,Apr,247,
,May,518,
,Jun,-130,
,Jul,-64,
,Aug,-39,
,Sep,-49,
,Oct,248,
,Nov,121,
,Dec,89,
2011,Jan,75,
,Feb,167,
,Mar,206,
,Apr,321,
,May,103,
,Jun,185,
,Jul,117,
,Aug,128,
,Sep,223,
,Oct,183,
,Nov,146,
,Dec,226,
2012,Jan,380,
,Feb,247,
,Mar,216,
,Apr,87,
,May,113,
,Jun,35,
,Jul,177,
,Aug,188,
,Sep,144,
,Oct,213,
,Nov,164,
,Dec,293,
2013,Jan,205,
,Feb,314,
,Mar,115,
,Apr,187,
,May,219,
,Jun,127,
,Jul,164,
,Aug,256,
,Sep,150,
,Oct,225,
,Nov,317,
,Dec,109,
2014,Jan,166,
,Feb,188,
,Mar,225,
,Apr,330,
,May,236,
,Jun,286,
,Jul,249,
,Aug,213,
,Sep,250,
,Oct,221,
,Nov,423,
,Dec,329,
2015,Jan,201,
,Feb,266,
